datetime,android_current_rating,android_all_ratings,ios_current_ratings,ios_all_ratings
2016-07-22 18:00:00,3.9,1414942,9116,110625
2016-07-22 18:10:00,3.9,1414942,9116,110625
2016-07-22 18:20:00,3.9,1414942,9116,110625
2016-07-22 18:30:00,3.9,1414942,9116,110625
2016-07-22 18:40:00,3.9,1414942,9116,110625
2016-07-22 18:50:00,3.9,1414942,9116,110625
2016-07-22 19:00:00,3.9,1414942,9116,110625
2016-07-22 19:10:00,3.9,1414942,9116,110625
2016-07-22 19:20:00,3.9,1414942,9686,111140
2016-07-22 19:30:00,3.9,1414942,9686,111140
2016-07-22 19:40:00,3.9,1414942,9686,111140
2016-07-22 19:50:00,3.9,1414942,9686,111140
2016-07-22 20:00:00,3.9,1414942,9686,111140
2016-07-22 20:10:00,3.9,1424989,9686,111140
2016-07-22 20:20:00,3.9,1424989,9686,111140
2016-07-22 20:30:00,3.9,1424989,9686,111140
2016-07-22 20:40:00,3.9,1424989,9686,111140
2016-07-22 20:50:00,3.9,1424989,9686,111140
2016-07-22 21:00:00,3.9,1424989,9686,111140
2016-07-22 21:10:00,3.9,1424989,9686,111140
2016-07-22 21:20:00,3.9,1424989,9686,111140
2016-07-22 21:30:00,3.9,1424989,9686,111140
2016-07-22 21:40:00,3.9,1424989,9686,111140
2016-07-22 21:50:00,3.9,1424989,9686,111140
2016-07-22 22:00:00,3.9,1424989,9686,111140
2016-07-22 22:10:00,3.9,1424989,9686,111140
2016-07-22 22:20:00,3.9,1424989,9686,111140
2016-07-22 22:30:00,3.9,1424989,9686,111140
2016-07-22 22:40:00,3.9,1424989,9686,111140
2016-07-22 22:50:00,3.9,1424989,9686,111140
2016-07-22 23:00:00,3.9,1424989,9686,111140
2016-07-22 23:10:00,3.9,1424989,9686,111547
2016-07-22 23:20:00,3.9,1424989,10132,111140
2016-07-22 23:30:00,3.9,1424989,10132,111547
2016-07-22 23:40:00,3.9,1424989,10132,111547
2016-07-22 23:50:00,3.9,1424989,10132,111547
